,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
122,Harvey Barnes,Midfielder,Newcastle,32,2709,6,51,0,0,187.7,0,2,0,138,0,0,13,6.5,2023,-20.0
123,Murillo Costa dos Santos,Defender,Nott'm Forest,36,3188,12,44,376,18,134.0,0,0,0,130,0,0,2,5.5,2025,100.0
124,Murillo Costa dos Santos,Defender,Nott'm Forest,32,2790,3,56,0,1,95.8,0,2,0,58,0,1,0,5.5,2024,-65.0
125,Amad Diallo,Midfielder,Man Utd,20,1898,7,30,176,17,193.8,0,8,0,129,0,0,8,6.5,2025,86.0
126,Amad Diallo,Midfielder,Man Utd,3,385,1,6,0,3,35.2,0,1,0,23,0,0,1,6.5,2024,10.0
127,Francisco Evanilson de Lima Barbosa,Forward,Bournemouth,28,2317,11,30,107,20,174.8,0,5,0,128,1,0,10,7.0,2025,102.0
128,Ola Aina,Defender,Nott'm Forest,35,2996,12,39,206,15,94.1,0,1,0,128,0,0,2,5.0,2025,82.0
129,Ola Aina,Defender,Nott'm Forest,20,1690,2,39,0,2,54.4,0,1,0,45,0,0,1,5.0,2024,-40.0
130,Bukayo Saka,Midfielder,Arsenal,20,1724,7,21,108,18,227.9,0,11,0,127,0,0,6,10.0,2025,100.0
131,Bukayo Saka,Midfielder,Arsenal,35,2922,16,27,0,29,375.7,0,12,0,226,0,0,16,10.0,2024,181.0
132,Bukayo Saka,Midfielder,Arsenal,37,3183,12,42,0,19,333.4,0,12,0,202,0,0,14,10.0,2023,102.0
133,Declan Rice,Midfielder,Arsenal,33,2823,11,29,297,17,208.8,0,7,0,127,1,0,4,6.5,2025,116.0
134,Declan Rice,Midfielder,Arsenal,37,3225,17,28,0,17,215.9,0,9,0,165,0,0,7,6.5,2024,130.0
135,Declan Rice,Midfielder,Arsenal,36,3272,9,50,0,12,155.5,0,3,0,116,0,0,4,6.5,2023,25.0
136,Nathan Collins,Defender,Brentford,38,3420,8,57,351,11,149.6,0,7,0,127,0,0,2,5.0,2025,43.0
137,Nathan Collins,Defender,Brentford,29,2649,7,51,0,8,98.7,0,1,0,84,0,0,1,5.0,2024,-12.0
138,Nathan Collins,Defender,Brentford,19,1811,4,37,0,6,51.5,0,0,0,49,1,0,0,5.0,2023,-21.0
139,Cody Gakpo,Midfielder,Liverpool,23,1921,5,25,136,22,180.3,0,5,0,127,0,0,10,7.5,2025,98.0
140,Cody Gakpo,Midfielder,Liverpool,17,1633,5,20,0,12,157.1,0,5,0,106,0,0,8,7.5,2024,58.0
141,Cody Gakpo,Midfielder,Liverpool,17,1455,6,19,0,4,112.3,0,3,0,90,0,0,7,7.5,2023,33.0
142,Robert Lynch Sánchez,Goalkeeper,Chelsea,32,2880,10,34,0,11,77.5,95,0,1,126,0,0,0,5.0,2025,148.0
143,Robert Lynch Sánchez,Goalkeeper,Chelsea,16,1433,3,25,0,7,45.2,53,0,1,59,0,0,0,5.0,2024,63.0
144,Robert Lynch Sánchez,Goalkeeper,Chelsea,23,2070,6,30,0,10,43.9,48,0,1,82,0,0,0,5.0,2023,77.0
145,João Pedro Junqueira de Jesus,Forward,Chelsea,23,1946,6,28,96,26,166.0,0,6,0,126,1,0,10,7.5,2025,100.0
146,João Pedro Junqueira de Jesus,Forward,Chelsea,19,2037,5,38,0,12,213.4,0,3,0,104,0,0,9,7.5,2024,25.0
147,Tomáš Souček,Midfielder,West Ham,30,2563,7,44,234,15,154.0,0,2,0,126,0,0,9,6.0,2025,59.0
148,Tomáš Souček,Midfielder,West Ham,34,2867,5,64,0,9,150.3,0,2,0,116,0,0,7,6.0,2024,-30.0
149,Tomáš Souček,Midfielder,West Ham,32,2811,8,42,0,6,127.1,0,4,0,100,0,0,2,6.0,2023,11.0
150,Gabriel Martinelli Silva,Midfielder,Arsenal,25,2284,10,25,122,6,206.1,0,4,0,125,0,0,8,7.0,2025,70.0
151,Gabriel Martinelli Silva,Midfielder,Arsenal,24,2010,10,23,0,6,200.8,0,5,0,118,0,0,6,7.0,2024,57.0
152,Gabriel Martinelli Silva,Midfielder,Arsenal,34,2789,14,33,0,18,298.1,0,9,0,198,0,0,15,7.0,2023,119.0
153,Danny Welbeck,Forward,Brighton,24,2109,7,37,95,21,155.8,0,5,0,125,0,0,10,6.5,2025,77.0
154,Danny Welbeck,Forward,Brighton,21,1687,8,28,0,5,114.0,0,4,0,79,0,0,5,6.5,2024,26.0
155,Danny Welbeck,Forward,Brighton,21,1844,6,28,0,5,155.4,0,5,0,91,0,0,6,6.5,2023,23.0
156,Rayan Aït-Nouri,Defender,Man City,37,3112,7,67,187,13,191.0,0,7,0,125,1,0,4,6.0,2025,3.0
157,Rayan Aït-Nouri,Defender,Man City,29,2327,3,43,0,6,107.7,0,3,0,77,0,0,2,6.0,2024,-19.0
158,Rayan Aït-Nouri,Defender,Man City,9,1067,4,18,0,0,48.9,0,0,0,41,0,1,1,6.0,2023,-9.0
159,Anthony Gordon,Midfielder,Newcastle,28,2428,10,33,143,9,196.8,0,6,0,124,0,0,6,7.5,2025,66.0
160,Anthony Gordon,Midfielder,Newcastle,34,2896,12,48,0,14,256.7,0,16,0,183,1,0,11,7.5,2024,66.0
161,Anthony Gordon,Midfielder,Newcastle,16,1574,4,18,0,5,108.8,0,0,0,68,0,0,4,7.5,2023,23.0
162,Tyrick Mitchell,Defender,Crystal Palace,37,3090,12,46,217,4,136.2,0,6,0,123,0,0,0,5.0,2025,40.0
163,Tyrick Mitchell,Defender,Crystal Palace,37,3204,10,55,0,10,127.4,0,3,0,119,0,0,2,5.0,2024,10.0
164,Tyrick Mitchell,Defender,Crystal Palace,34,2889,8,40,0,7,89.0,0,2,0,93,1,0,0,5.0,2023,9.0
165,Alexis Mac Allister,Midfielder,Liverpool,30,2597,14,24,300,8,174.1,0,6,0,122,0,0,5,6.5,2025,113.0
166,Alexis Mac Allister,Midfielder,Liverpool,31,2600,6,34,0,12,166.2,0,5,0,109,1,0,5,6.5,2024,36.0
167,Alexis Mac Allister,Midfielder,Liverpool,31,2882,10,45,0,18,221.3,0,2,0,140,0,1,10,6.5,2023,56.0
168,Youri Tielemans,Midfielder,Aston Villa,35,3025,7,46,314,15,209.6,0,7,0,121,0,0,3,6.0,2025,67.0
169,Youri Tielemans,Midfielder,Aston Villa,17,1613,4,27,0,2,83.3,0,6,0,77,0,0,2,6.0,2024,1.0
170,Youri Tielemans,Midfielder,Aston Villa,27,2341,6,49,0,6,122.1,0,3,0,86,0,0,3,6.0,2023,-17.0
171,Nicolas Jackson,Forward,Chelsea,28,2220,11,24,90,17,187.4,0,6,0,121,1,0,10,6.5,2025,103.0
172,Nicolas Jackson,Forward,Chelsea,31,2801,9,48,0,12,237.7,0,6,0,142,0,0,14,6.5,2024,41.0
173,Vitalii Mykolenko,Defender,Everton,35,3082,11,39,252,9,115.2,0,3,0,121,0,0,1,5.0,2025,66.0
174,Vitalii Mykolenko,Defender,Everton,28,2469,9,37,0,9,96.8,0,1,0,101,0,0,2,5.0,2024,28.0
175,Vitalii Mykolenko,Defender,Everton,30,2653,7,46,0,4,93.4,0,1,0,75,0,0,0,5.0,2023,-16.0
176,Noni Madueke,Midfielder,Arsenal,27,2028,6,28,129,12,195.3,0,5,0,120,0,0,7,7.0,2025,63.0
177,Noni Madueke,Midfielder,Arsenal,13,1044,4,19,0,7,102.8,0,3,0,76,0,0,5,7.0,2024,26.0
178,Noni Madueke,Midfielder,Arsenal,7,639,0,13,0,2,55.0,0,0,0,26,0,0,1,7.0,2023,-9.0
179,André Onana,Goalkeeper,Man Utd,34,3060,9,44,0,8,74.7,90,0,1,120,0,0,0,5.0,2025,111.0
180,André Onana,Goalkeeper,Man Utd,38,3420,9,58,0,10,120.2,149,0,0,133,0,0,0,5.0,2024,148.0
181,Fabian Schär,Defender,Newcastle,33,2935,11,42,239,4,119.6,0,2,0,118,1,0,4,5.5,2025,39.0
182,Fabian Schär,Defender,Newcastle,35,3055,9,58,0,12,127.4,0,3,0,123,0,0,4,5.5,2024,7.0
183,Fabian Schär,Defender,Newcastle,36,3207,15,28,0,6,147.1,0,3,0,139,0,1,1,5.5,2023,68.0
184,Aaron Wan-Bissaka,Defender,West Ham,35,3154,6,59,258,15,152.7,0,6,0,118,0,1,2,4.5,2025,25.0
185,Aaron Wan-Bissaka,Defender,West Ham,20,1778,3,34,0,5,65.5,0,2,0,47,0,0,0,4.5,2024,-16.0
