,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
622,Defender,Conor Bradley,Liverpool,2024/25,41,7,744,0,2,3,10,45,0,0,0,3,0,42.8,£5.0m
623,Defender,Conor Bradley,Liverpool,2023/24,50,10,752,1,3,3,7,0,1,0,0,7,0,60.6,£5.0m
624,Defender,Conor Bradley,Liverpool,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.0m
625,Defender,Oleksandr Zinchenko,Arsenal,2024/25,40,5,518,0,1,4,1,21,0,0,0,2,0,24.1,£5.0m
626,Defender,Oleksandr Zinchenko,Arsenal,2023/24,104,20,1717,1,2,9,15,0,0,0,0,16,0,100.4,£5.0m
627,Defender,Oleksandr Zinchenko,Arsenal,2022/23,99,26,2122,1,2,10,28,0,0,0,0,8,0,98.3,£5.0m
628,Midfielder,Edson Álvarez Velázquez,West Ham,2024/25,40,20,1769,0,1,3,31,205,0,0,0,0,1,54.7,£5.0m
629,Midfielder,Edson Álvarez Velázquez,West Ham,2023/24,62,28,2375,1,1,5,45,0,0,0,0,3,0,82.7,£5.0m
630,Defender,Riccardo Calafiori,Arsenal,2024/25,39,11,978,2,1,1,12,66,0,0,0,1,0,54.6,£5.5m
631,Defender,Kristoffer Ajer,Brentford,2024/25,39,17,1433,0,0,3,25,89,0,0,0,0,0,48.5,£4.5m
632,Defender,Kristoffer Ajer,Brentford,2023/24,68,21,1826,2,1,5,33,0,0,0,0,3,0,79.7,£4.5m
633,Defender,Kristoffer Ajer,Brentford,2022/23,29,9,763,0,0,4,14,0,0,0,0,0,0,15.1,£4.5m
634,Defender,Adam Webster,Brighton,2024/25,39,11,885,0,1,4,11,79,0,0,0,2,0,30.2,£4.5m
635,Defender,Adam Webster,Brighton,2023/24,26,13,1142,0,0,2,22,0,1,0,0,2,0,39.7,£4.5m
636,Defender,Adam Webster,Brighton,2022/23,75,23,1983,0,0,9,27,0,1,0,0,3,0,59.2,£4.5m
637,Midfielder,Mathias Jensen,Brentford,2024/25,38,8,846,0,2,2,17,87,0,0,0,1,0,43.8,£5.0m
638,Midfielder,Mathias Jensen,Brentford,2023/24,98,27,2201,3,4,9,45,0,0,0,0,10,0,130.4,£5.0m
639,Midfielder,Mathias Jensen,Brentford,2022/23,132,37,2805,5,7,10,40,0,0,0,0,11,0,164.1,£5.0m
